dataset,model,evaluation_type,condition,seed,accuracy,balanced_accuracy,f1_score,fit_time,predict_time
Breast Cancer,TabPFN,size_sensitivity,train_ratio_0.2,42,0.9649122807017544,,0.9726027397260274,,
Breast Cancer,Logistic Regression,size_sensitivity,train_ratio_0.2,42,0.9649122807017544,,0.9726027397260274,,
Breast Cancer,Random Forest,size_sensitivity,train_ratio_0.2,42,0.956140350877193,,0.9659863945578231,,
Breast Cancer,TabPFN,size_sensitivity,train_ratio_0.4,42,0.9736842105263158,,0.9793103448275862,,
Breast Cancer,Logistic Regression,size_sensitivity,train_ratio_0.4,42,0.9473684210526315,,0.958904109589041,,
Breast Cancer,Random Forest,size_sensitivity,train_ratio_0.4,42,0.9736842105263158,,0.9793103448275862,,
Breast Cancer,TabPFN,size_sensitivity,train_ratio_0.6,42,0.956140350877193,,0.965034965034965,,
Breast Cancer,Logistic Regression,size_sensitivity,train_ratio_0.6,42,0.9649122807017544,,0.9722222222222222,,
Breast Cancer,Random Forest,size_sensitivity,train_ratio_0.6,42,0.956140350877193,,0.9655172413793104,,
Breast Cancer,TabPFN,size_sensitivity,train_ratio_0.8,42,0.956140350877193,,0.965034965034965,,
Breast Cancer,Logistic Regression,size_sensitivity,train_ratio_0.8,42,0.9649122807017544,,0.9722222222222222,,
Breast Cancer,Random Forest,size_sensitivity,train_ratio_0.8,42,0.9649122807017544,,0.9722222222222222,,
Breast Cancer,TabPFN,size_sensitivity,train_ratio_1.0,42,0.9824561403508771,,0.9861111111111112,,
Breast Cancer,Logistic Regression,size_sensitivity,train_ratio_1.0,42,0.956140350877193,,0.9655172413793104,,
Breast Cancer,Random Forest,size_sensitivity,train_ratio_1.0,42,0.9649122807017544,,0.9722222222222222,,
